Week,Date,Topic
1,3-Sep,Introduction
1,5-Sep,Centrality
2,10-Sep,Variance
2,12-Sep,Categories
3,17-Sep,Networks
3,19-Sep,GeoSpatial
4,24-Sep,Correlation
4,26-Sep,Linear Regression
5,1-Oct,Linear Regression
5,3-Oct,Logistic Regression
6,8-Oct,Reporting 1
6,10-Oct,EXAM
7,22-Oct,Discrete Distributions
7,24-Oct,Continuous Distributions
8,29-Oct,Estimators
8,31-Oct,Confidence Intervals
9,5-Nov,NHST
9,7-Nov,NHST
10,12-Nov,Model Selection
10,14-Nov,Supervised Learning
11,19-Nov,TidyModels
11,21-Nov,Unsupervised Learning
12,3-Dec,Reporting 2
12,5-Dec,EXAM
